Store,Date,Sales
The Split Bean,9/17/2010,26266.39
Manhattan Mocha,5/2/2010,6453.58
Manhattan Mocha,1/10/2010,5617.26
The Split Bean,5/2/2010,35034.06
Manhattan Mocha,2/26/2010,4992
The Split Bean,4/6/2010,23869.17
Manhattan Mocha,8/27/2010,3917.19
Camdens Coffee,5/28/2010,15580.43
The Split Bean,9/24/2010,26127.76
Manhattan Mocha,10/29/2010,11645.78
The Split Bean,8/27/2010,21264.66
Camdens Coffee,1/10/2010,20094.19
Camdens Coffee,3/19/2010,22136.64
The Split Bean,5/28/2010,22899.73
Manhattan Mocha,8/10/2010,6848.21
The Split Bean,2/19/2010,58221.52
Camdens Coffee,2/7/2010,16333.14
The Split Bean,4/23/2010,22163.12
Manhattan Mocha,4/30/2010,4159.25
The Split Bean,11/6/2010,24549.01
The Split Bean,8/10/2010,31524.86
Manhattan Mocha,5/11/2010,14326.87
Camdens Coffee,8/10/2010,23388.03
The Split Bean,3/19/2010,28446.92
Camdens Coffee,7/5/2010,17413.94
Camdens Coffee,8/20/2010,15740.13
The Split Bean,7/30/2010,22749.21
Manhattan Mocha,3/26/2010,6620.12
Camdens Coffee,4/30/2010,16555.11
Camdens Coffee,4/6/2010,17558.09
The Split Bean,10/22/2010,40755.17
Camdens Coffee,9/24/2010,18122.52
Manhattan Mocha,10/22/2010,7665.09
The Split Bean,7/16/2010,23727.77
Manhattan Mocha,4/23/2010,4417.17
Manhattan Mocha,2/19/2010,8918.31
Manhattan Mocha,6/25/2010,4377.74
The Split Bean,12/3/2010,28660.87
The Split Bean,2/7/2010,23803.34
The Split Bean,5/3/2010,27372.05
Camdens Coffee,10/9/2010,18194.74
Manhattan Mocha,12/3/2010,5540.28
Camdens Coffee,9/7/2010,17688.76
Manhattan Mocha,5/14/2010,4771.24
Camdens Coffee,6/25/2010,16328.72
Manhattan Mocha,7/5/2010,4756.69
Camdens Coffee,11/6/2010,16637.62
Manhattan Mocha,6/8/2010,3552.7
Manhattan Mocha,3/19/2010,5118.12
Camdens Coffee,2/26/2010,19403.54
The Split Bean,6/8/2010,22795.72
The Split Bean,9/4/2010,66560
Camdens Coffee,8/27/2010,15793.87
Manhattan Mocha,10/15/2010,7157.09
Camdens Coffee,9/4/2010,42960.91
Manhattan Mocha,2/7/2010,4238.56
Manhattan Mocha,4/16/2010,4061.89
Camdens Coffee,7/30/2010,15381.82
Camdens Coffee,6/8/2010,17508.41
The Split Bean,10/15/2010,34924.59
Camdens Coffee,7/16/2010,17150.84
Manhattan Mocha,9/17/2010,5833.23
Camdens Coffee,9/17/2010,19354.23
Camdens Coffee,5/11/2010,34238.88
Manhattan Mocha,8/20/2010,4136.05
Camdens Coffee,10/15/2010,26978.34
Camdens Coffee,6/18/2010,16216.27
The Split Bean,12/2/2010,60483.7
The Split Bean,5/14/2010,25876.55
Camdens Coffee,7/23/2010,15360.45
Camdens Coffee,4/23/2010,16145.35
Manhattan Mocha,5/3/2010,5172.73
The Split Bean,6/18/2010,23918.56
Camdens Coffee,3/9/2010,16241.78
The Split Bean,8/13/2010,21933.3
The Split Bean,10/29/2010,56903.47
Camdens Coffee,10/29/2010,38640.93
Manhattan Mocha,9/4/2010,8316.05
The Split Bean,2/26/2010,25962.32
Manhattan Mocha,9/24/2010,5855.34
The Split Bean,2/4/2010,82766.07
Manhattan Mocha,10/9/2010,5184.6
Manhattan Mocha,4/6/2010,5020.1
The Split Bean,3/9/2010,23901.32
Camdens Coffee,5/3/2010,21827.9
The Split Bean,1/10/2010,27023.35
Camdens Coffee,5/21/2010,14773.04
Manhattan Mocha,8/13/2010,3930.41
The Split Bean,3/26/2010,32213.99
The Split Bean,8/20/2010,22126.52
Camdens Coffee,2/19/2010,41595.55
Camdens Coffee,8/13/2010,15536.4
The Split Bean,6/25/2010,23757.36
Camdens Coffee,3/26/2010,26229.21
Manhattan Mocha,7/16/2010,3440.69
The Split Bean,4/16/2010,21308.59
Camdens Coffee,5/2/2010,24924.5
The Split Bean,4/30/2010,24066.2
Camdens Coffee,5/14/2010,18926.74
Manhattan Mocha,12/2/2010,12748.72
The Split Bean,7/5/2010,26191.58
Camdens Coffee,12/3/2010,21043.39
The Split Bean,10/9/2010,25710.17
Camdens Coffee,2/4/2010,57258.43
Manhattan Mocha,5/28/2010,4204.65
Manhattan Mocha,11/6/2010,4726.45
Camdens Coffee,4/16/2010,17596.96
The Split Bean,5/11/2010,46198.84
The Split Bean,9/7/2010,23707.54
Manhattan Mocha,6/18/2010,4444.66
Manhattan Mocha,2/4/2010,16399.01
The Split Bean,5/21/2010,22689.01
Camdens Coffee,12/2/2010,46039.49
Manhattan Mocha,3/9/2010,4923.61
Camdens Coffee,10/22/2010,25543.04
Manhattan Mocha,5/21/2010,4444.92
Manhattan Mocha,7/23/2010,3874.45
The Split Bean,7/23/2010,21139.52
Manhattan Mocha,7/30/2010,4205.62
Manhattan Mocha,9/7/2010,4544.62
